1. schůze, 1. hlasování, 20. listopadu 2017, 13:53Inf. o ustavení volební komise PS a volbě členů
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
KSCM,15,10,0,3,0,2
KDU-CSL,10,8,0,0,0,2
TOP09,7,4,0,2,1,0
STAN,6,5,0,1,0,0
Celkem,200,143,0,18,21,18
26. schůze, 21. hlasování, 23. ledna 2019, 09:10Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,69,0,1,2,6
ODS,25,16,0,4,1,4
Pirati,22,19,0,1,1,1
SPD,22,18,0,2,0,2
CSSD,15,10,0,4,0,1
KSCM,15,10,0,3,0,2
KDU-CSL,10,8,0,0,0,2
TOP09,7,5,0,2,0,0
STAN,6,6,0,0,0,0
Celkem,200,161,0,17,4,18
26. schůze, 22. hlasování, 23. ledna 2019, 09:11Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,70,0,1,1,6
ODS,25,1,0,4,16,4
Pirati,22,19,0,1,1,1
SPD,22,18,0,2,0,2
CSSD,15,10,0,4,0,1
KSCM,15,9,0,3,1,2
KDU-CSL,10,8,0,0,0,2
TOP09,7,3,0,2,2,0
STAN,6,6,0,0,0,0
Celkem,200,144,0,17,21,18
26. schůze, 23. hlasování, 23. ledna 2019, 09:12Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,48,1,22,6
ODS,25,16,0,3,2,4
Pirati,22,20,0,1,0,1
SPD,22,0,0,2,18,2
CSSD,15,3,1,3,7,1
KSCM,15,0,5,3,5,2
KDU-CSL,10,8,0,0,0,2
TOP09,7,5,0,2,0,0
STAN,6,6,0,0,0,0
Celkem,200,59,54,15,54,18
26. schůze, 24. hlasování, 23. ledna 2019, 09:40Novela z. o předcházení ekologické újmě a o její nápravě - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,69,0,1,2,6
ODS,25,18,0,1,2,4
Pirati,22,21,0,0,0,1
SPD,22,19,0,0,1,2
CSSD,15,13,0,1,0,1
KSCM,15,13,0,0,0,2
KDU-CSL,10,7,0,0,1,2
TOP09,7,6,0,1,0,0
STAN,6,6,0,0,0,0
Celkem,200,172,0,4,6,18
26. schůze, 25. hlasování, 23. ledna 2019, 09:41Novela z. o předcházení ekologické újmě a o její nápravě - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,69,1,1,6
ODS,25,19,0,1,1,4
Pirati,22,0,20,0,1,1
SPD,22,0,0,0,20,2
CSSD,15,0,11,1,2,1
KSCM,15,0,11,0,2,2
KDU-CSL,10,0,9,0,0,1
TOP09,7,0,4,1,2,0
STAN,6,0,6,0,0,0
Celkem,200,20,130,4,29,17
26. schůze, 26. hlasování, 23. ledna 2019, 09:42Novela z. o předcházení ekologické újmě a o její nápravě - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,63,1,8,6
ODS,25,19,0,1,1,4
Pirati,22,0,21,0,0,1
SPD,22,19,0,0,1,2
CSSD,15,0,11,1,2,1
KSCM,15,0,0,0,13,2
KDU-CSL,10,1,7,1,0,1
TOP09,7,1,4,1,1,0
STAN,6,6,0,0,0,0
Celkem,200,46,106,5,26,17
26. schůze, 27. hlasování, 23. ledna 2019, 09:43Novela z. o předcházení ekologické újmě a o její nápravě - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,64,1,7,6
ODS,25,19,0,1,1,4
Pirati,22,0,21,0,0,1
SPD,22,0,0,0,20,2
CSSD,15,1,12,1,0,1
KSCM,15,0,11,0,2,2
KDU-CSL,10,0,9,0,0,1
TOP09,7,1,4,1,1,0
STAN,6,0,6,0,0,0
Celkem,200,21,127,4,31,17
26. schůze, 28. hlasování, 23. ledna 2019, 09:43Novela z. o předcházení ekologické újmě a o její nápravě - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,66,1,5,6
ODS,25,19,0,1,1,4
Pirati,22,0,20,0,1,1
SPD,22,0,0,0,20,2
CSSD,15,0,12,1,1,1
KSCM,15,0,11,0,2,2
KDU-CSL,10,0,9,0,0,1
TOP09,7,1,4,1,1,0
STAN,6,0,6,0,0,0
Celkem,200,20,128,4,31,17
26. schůze, 29. hlasování, 23. ledna 2019, 09:44Novela z. o předcházení ekologické újmě a o její nápravě - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,69,1,2,6
ODS,25,0,20,0,1,4
Pirati,22,21,0,0,0,1
SPD,22,0,0,0,20,2
CSSD,15,0,11,1,2,1
KSCM,15,1,0,0,12,2
KDU-CSL,10,8,0,1,0,1
TOP09,7,5,0,1,1,0
STAN,6,1,0,0,5,0
Celkem,200,36,100,4,43,17
26. schůze, 30. hlasování, 23. ledna 2019, 09:45Novela z. o předcházení ekologické újmě a o její nápravě - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,68,1,3,6
ODS,25,0,20,0,1,4
Pirati,22,21,0,0,0,1
SPD,22,0,0,0,20,2
CSSD,15,0,10,1,3,1
KSCM,15,0,11,0,2,2
KDU-CSL,10,8,0,1,0,1
TOP09,7,5,0,1,1,0
STAN,6,1,0,0,5,0
Celkem,200,35,109,4,35,17
26. schůze, 31. hlasování, 23. ledna 2019, 09:46Novela z. o předcházení ekologické újmě a o její nápravě - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,70,0,1,1,6
ODS,25,0,20,0,1,4
Pirati,22,21,0,0,0,1
SPD,22,0,0,0,20,2
CSSD,15,13,0,1,0,1
KSCM,15,13,0,0,0,2
KDU-CSL,10,9,0,0,0,1
TOP09,7,5,0,1,1,0
STAN,6,6,0,0,0,0
Celkem,200,137,20,3,23,17
26. schůze, 32. hlasování, 23. ledna 2019, 11:39Novela z. o majetkovém vyrovnání s církvemi
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,45,8,19,6
ODS,25,20,0,1,0,4
Pirati,22,20,0,0,1,1
SPD,22,0,0,1,19,2
CSSD,15,0,10,3,1,1
KSCM,15,0,13,0,0,2
KDU-CSL,10,9,0,0,0,1
TOP09,7,7,0,0,0,0
STAN,6,6,0,0,0,0
Celkem,200,62,68,13,40,17
26. schůze, 33. hlasování, 23. ledna 2019, 11:41Novela z. o majetkovém vyrovnání s církvemi
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,66,0,5,1,6
ODS,25,20,0,1,0,4
Pirati,22,21,0,0,0,1
SPD,22,19,0,1,0,2
CSSD,15,11,0,3,0,1
KSCM,15,13,0,0,0,2
KDU-CSL,10,9,0,0,0,1
TOP09,7,7,0,0,0,0
STAN,6,6,0,0,0,0
Celkem,200,172,0,10,1,17
26. schůze, 34. hlasování, 23. ledna 2019, 11:42Novela z. o majetkovém vyrovnání s církvemi
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,1,5,66,6
ODS,25,20,0,1,0,4
Pirati,22,21,0,0,0,1
SPD,22,0,0,1,19,2
CSSD,15,0,7,3,4,1
KSCM,15,0,13,0,0,2
KDU-CSL,10,9,0,0,0,1
TOP09,7,7,0,0,0,0
STAN,6,6,0,0,0,0
Celkem,200,63,21,10,89,17
26. schůze, 35. hlasování, 23. ledna 2019, 11:43Novela z. o majetkovém vyrovnání s církvemi
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,65,0,5,2,6
ODS,25,20,0,1,0,4
Pirati,22,21,0,0,0,1
SPD,22,19,0,1,0,2
CSSD,15,11,0,3,0,1
KSCM,15,13,0,0,0,2
KDU-CSL,10,9,0,0,0,1
TOP09,7,7,0,0,0,0
STAN,6,6,0,0,0,0
Celkem,200,171,0,10,2,17
26. schůze, 36. hlasování, 23. ledna 2019, 11:44Novela z. o majetkovém vyrovnání s církvemi
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,62,0,7,3,6
ODS,25,0,20,1,0,4
Pirati,22,0,14,0,7,1
SPD,22,19,0,1,0,2
CSSD,15,12,0,2,0,1
KSCM,15,13,0,0,0,2
KDU-CSL,10,0,9,0,0,1
TOP09,7,0,7,0,0,0
STAN,6,0,6,0,0,0
Celkem,200,106,56,11,10,17
26. schůze, 37. hlasování, 23. ledna 2019, 13:07Vl.n.z. o úpravě vztahů v souvislosti s vystoupením VB z EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,65,0,3,4,6
ODS,25,19,0,2,1,3
Pirati,22,21,0,0,0,1
SPD,22,20,0,0,0,2
CSSD,15,12,0,1,1,1
KSCM,15,12,0,0,1,2
KDU-CSL,10,9,0,0,0,1
TOP09,7,5,0,0,2,0
STAN,6,6,0,0,0,0
Celkem,200,169,0,6,9,16
26. schůze, 38. hlasování, 23. ledna 2019, 13:09Vl.n.z. o úpravě vztahů v souvislosti s vystoupením VB z EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,65,0,3,4,6
ODS,25,19,0,2,1,3
Pirati,22,21,0,0,0,1
SPD,22,20,0,0,0,2
CSSD,15,12,0,1,1,1
KSCM,15,12,0,0,1,2
KDU-CSL,10,9,0,0,0,1
TOP09,7,6,0,0,1,0
STAN,6,6,0,0,0,0
Celkem,200,170,0,6,8,16
26. schůze, 39. hlasování, 23. ledna 2019, 13:10Vl.n.z. o úpravě vztahů v souvislosti s vystoupením VB z EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,58,0,3,11,6
ODS,25,17,0,2,3,3
Pirati,22,21,0,0,0,1
SPD,22,20,0,0,0,2
CSSD,15,11,0,1,2,1
KSCM,15,11,0,0,2,2
KDU-CSL,10,9,0,0,0,1
TOP09,7,6,0,0,1,0
STAN,6,6,0,0,0,0
Celkem,200,159,0,6,19,16
26. schůze, 40. hlasování, 23. ledna 2019, 14:43Novela z. o státním občanství ČR
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,62,1,8,6
ODS,25,0,5,1,16,3
Pirati,22,0,19,1,1,1
SPD,22,15,0,0,5,2
CSSD,15,0,9,1,2,3
KSCM,15,0,8,1,4,2
KDU-CSL,10,0,6,0,3,1
TOP09,7,0,3,1,3,0
STAN,6,0,5,0,1,0
Celkem,200,16,117,6,43,18
26. schůze, 41. hlasování, 23. ledna 2019, 14:44Novela z. o státním občanství ČR
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,67,0,1,4,6
ODS,25,16,0,1,5,3
Pirati,22,19,0,1,1,1
SPD,22,15,0,0,5,2
CSSD,15,9,0,1,2,3
KSCM,15,9,0,1,3,2
KDU-CSL,10,6,0,0,3,1
TOP09,7,5,0,1,1,0
STAN,6,5,0,0,1,0
Celkem,200,151,0,6,25,18
26. schůze, 42. hlasování, 23. ledna 2019, 14:45Novela z. o státním občanství ČR
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,63,0,1,8,6
ODS,25,15,1,1,5,3
Pirati,22,19,0,1,1,1
SPD,22,15,0,0,5,2
CSSD,15,9,0,1,2,3
KSCM,15,9,0,1,3,2
KDU-CSL,10,7,0,0,2,1
TOP09,7,3,1,1,2,0
STAN,6,4,0,0,2,0
Celkem,200,144,2,6,30,18
26. schůze, 43. hlasování, 23. ledna 2019, 16:25Novela z. o státní službě
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,65,1,6,6
ODS,25,21,0,1,0,3
Pirati,22,21,0,0,0,1
SPD,22,0,18,2,0,2
CSSD,15,0,4,2,6,3
KSCM,15,0,9,2,1,3
KDU-CSL,10,9,0,0,0,1
TOP09,7,6,0,1,0,0
STAN,6,6,0,0,0,0
Celkem,200,63,96,9,13,19
26. schůze, 44. hlasování, 23. ledna 2019, 16:26Novela z. o státní službě
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,72,0,0,0,6
ODS,25,0,21,1,0,3
Pirati,22,0,21,0,0,1
SPD,22,19,0,1,0,2
CSSD,15,12,0,0,0,3
KSCM,15,10,0,2,0,3
KDU-CSL,10,0,9,0,0,1
TOP09,7,0,6,1,0,0
STAN,6,0,5,0,1,0
Celkem,200,113,62,5,1,19
26. schůze, 45. hlasování, 23. ledna 2019, 16:33Vl.n.z, kterým se mění volební zákony a soudní řád správní
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,62,0,5,4,7
ODS,25,20,0,2,0,3
Pirati,22,19,0,2,0,1
SPD,22,0,19,1,0,2
CSSD,15,7,1,1,1,5
KSCM,15,0,10,2,0,3
KDU-CSL,10,8,0,1,0,1
TOP09,7,6,0,1,0,0
STAN,6,6,0,0,0,0
Celkem,200,128,30,15,5,22
26. schůze, 46. hlasování, 24. ledna 2019, 10:11Písemná interpelace Z. Stanjury na A. Babiše ve věci plánovaných inves
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,1,32,26,18
ODS,25,10,0,12,0,3
Pirati,22,13,0,5,0,4
SPD,22,9,0,10,0,3
CSSD,15,2,0,6,1,6
KSCM,15,6,0,7,0,2
KDU-CSL,10,1,0,5,0,4
TOP09,7,0,0,4,0,3
STAN,6,5,0,0,0,1
Celkem,200,47,1,81,27,44
26. schůze, 47. hlasování, 24. ledna 2019, 10:13Písemná interpelace V. Kovářové na A. Babiše ve věci hospodaření Kance
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,0,31,28,18
ODS,25,10,0,12,0,3
Pirati,22,13,0,4,1,4
SPD,22,9,0,10,0,3
CSSD,15,2,0,6,1,6
KSCM,15,6,0,7,0,2
KDU-CSL,10,1,0,5,0,4
TOP09,7,0,0,4,0,3
STAN,6,5,0,0,0,1
Celkem,200,47,0,79,30,44
26. schůze, 48. hlasování, 24. ledna 2019, 10:15Písemná interpelace V. Munzara na A. Schillerovou ve věci postupu FS Č
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,1,31,27,18
ODS,25,10,0,12,0,3
Pirati,22,14,0,4,0,4
SPD,22,9,0,10,0,3
CSSD,15,2,0,5,2,6
KSCM,15,6,0,7,0,2
KDU-CSL,10,1,0,5,0,4
TOP09,7,0,0,4,0,3
STAN,6,4,0,0,1,1
Celkem,200,47,1,78,30,44
26. schůze, 49. hlasování, 24. ledna 2019, 10:17Písemná interpelace O. Richterové na A. Babiše ve věci řešení soc.vylo
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,1,31,27,18
ODS,25,10,0,12,0,3
Pirati,22,14,0,4,0,4
SPD,22,10,0,9,0,3
CSSD,15,3,0,5,1,6
KSCM,15,6,0,7,0,2
KDU-CSL,10,1,0,5,0,4
TOP09,7,0,0,4,0,3
STAN,6,4,0,0,1,1
Celkem,200,49,1,77,29,44
26. schůze, 50. hlasování, 24. ledna 2019, 11:06Inf. o přeletech a průjezdech ozbroj. sil v 2. pololetí 2017
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,53,0,8,1,16
ODS,25,17,0,4,0,4
Pirati,22,18,0,1,0,3
SPD,22,15,0,4,0,3
CSSD,15,4,0,5,0,6
KSCM,15,0,5,6,2,2
KDU-CSL,10,3,0,2,2,3
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,0,1
Celkem,200,120,5,30,5,40
26. schůze, 51. hlasování, 24. ledna 2019, 11:09Inf. o účasti ozbr. sil ČR na voj. cvič. za 2. pol. 2017
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,52,0,8,2,16
ODS,25,17,0,4,0,4
Pirati,22,18,0,1,0,3
SPD,22,15,0,4,0,3
CSSD,15,5,0,4,0,6
KSCM,15,7,0,5,1,2
KDU-CSL,10,5,0,1,1,3
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,0,1
Celkem,200,129,0,27,4,40
26. schůze, 52. hlasování, 24. ledna 2019, 11:131. doplněk k účasti ozbroj. sil ČR na voj. cvič. v roce 2018
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,54,0,7,1,16
ODS,25,16,0,4,1,4
Pirati,22,17,0,1,1,3
SPD,22,15,0,4,0,3
CSSD,15,4,0,4,1,6
KSCM,15,7,0,3,3,2
KDU-CSL,10,5,0,1,1,3
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,0,1
Celkem,200,128,0,24,8,40
26. schůze, 53. hlasování, 24. ledna 2019, 11:17Inf. o nasazení sil MO v zahraničních operacích v roce 2017
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,53,0,8,2,15
ODS,25,16,0,5,0,4
Pirati,22,16,0,2,1,3
SPD,22,14,0,3,2,3
CSSD,15,4,0,4,1,6
KSCM,15,0,6,3,4,2
KDU-CSL,10,5,0,1,1,3
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,0,1
Celkem,200,118,6,26,11,39
26. schůze, 54. hlasování, 24. ledna 2019, 11:21Inf. o přeletech a průjezdech ozbroj. sil v 1. pololetí 2018
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,52,0,11,0,15
ODS,25,18,0,3,0,4
Pirati,22,18,0,1,0,3
SPD,22,13,0,4,2,3
CSSD,15,4,0,5,0,6
KSCM,15,0,6,5,2,2
KDU-CSL,10,4,0,3,0,3
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,0,1
Celkem,200,119,6,32,4,39
26. schůze, 55. hlasování, 24. ledna 2019, 11:26Rozh. vl. o přeletech a průj.ozbroj.sil přes území ČR - 2019
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,50,0,10,3,15
ODS,25,17,0,3,1,4
Pirati,22,18,0,1,0,3
SPD,22,0,0,4,15,3
CSSD,15,4,0,5,0,6
KSCM,15,0,5,5,3,2
KDU-CSL,10,4,0,3,0,3
TOP09,7,4,0,0,1,2
STAN,6,5,0,0,0,1
Celkem,200,102,5,31,23,39
26. schůze, 56. hlasování, 24. ledna 2019, 11:292. doplněk k účasti ozbroj. sil ČR na voj. cvič. v roce 2018
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,51,0,9,3,15
ODS,25,15,0,2,4,4
Pirati,22,16,0,2,1,3
SPD,22,16,0,3,0,3
CSSD,15,3,0,5,1,6
KSCM,15,8,0,4,1,2
KDU-CSL,10,4,0,3,0,3
TOP09,7,5,0,0,0,2
STAN,6,4,0,0,1,1
Celkem,200,122,0,28,11,39
26. schůze, 57. hlasování, 24. ledna 2019, 11:33Inf. o účasti ozbroj. sil ČR na voj. cvič. za 1. pol. 2018
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,49,0,8,5,16
ODS,25,17,0,2,2,4
Pirati,22,16,0,2,1,3
SPD,22,17,0,2,0,3
CSSD,15,3,0,5,1,6
KSCM,15,9,0,3,1,2
KDU-CSL,10,5,0,2,0,3
TOP09,7,5,0,0,0,2
STAN,6,4,0,0,2,0
Celkem,200,125,0,24,12,39
26. schůze, 58. hlasování, 24. ledna 2019, 11:37Účast ozbrojených sil ČR na vojenských cvičeních v roce 2019
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,52,0,7,3,16
ODS,25,17,0,2,2,4
Pirati,22,17,0,2,0,3
SPD,22,0,0,2,17,3
CSSD,15,3,0,5,1,6
KSCM,15,9,0,3,1,2
KDU-CSL,10,5,0,2,0,3
TOP09,7,5,0,0,0,2
STAN,6,4,0,0,2,0
Celkem,200,112,0,23,26,39
26. schůze, 59. hlasování, 24. ledna 2019, 11:44Zpráva o činnosti RRTV za rok 2016
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,53,0,5,5,15
ODS,25,15,0,2,4,4
Pirati,22,16,0,0,3,3
SPD,22,0,17,1,1,3
CSSD,15,3,0,5,1,6
KSCM,15,7,0,3,3,2
KDU-CSL,10,5,0,2,0,3
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,1,0
Celkem,200,109,17,18,18,38
26. schůze, 60. hlasování, 24. ledna 2019, 11:56Výroční zpráva o činnosti a hospodaření ČTK v roce 2016
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,57,0,3,4,14
ODS,25,17,0,2,3,3
Pirati,22,18,0,0,1,3
SPD,22,16,0,1,2,3
CSSD,15,2,0,5,2,6
KSCM,15,8,0,3,2,2
KDU-CSL,10,4,0,2,1,3
TOP09,7,4,0,0,1,2
STAN,6,5,0,0,1,0
Celkem,200,131,0,16,17,36
26. schůze, 61. hlasování, 24. ledna 2019, 12:00Zpráva o činnosti finančního arbitra za rok 2017
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,54,0,4,6,14
ODS,25,15,1,2,4,3
Pirati,22,19,0,0,0,3
SPD,22,17,0,1,1,3
CSSD,15,3,0,5,1,6
KSCM,15,10,0,1,2,2
KDU-CSL,10,4,0,2,1,3
TOP09,7,3,0,0,2,2
STAN,6,5,0,0,1,0
Celkem,200,130,1,15,18,36
26. schůze, 62. hlasování, 24. ledna 2019, 12:05Výroční zpráva o činnosti Českého rozhlasu za rok 2017
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,51,0,4,10,13
ODS,25,0,0,2,20,3
Pirati,22,17,0,0,2,3
SPD,22,0,17,1,1,3
CSSD,15,2,0,5,2,6
KSCM,15,11,0,1,1,2
KDU-CSL,10,4,0,2,1,3
TOP09,7,4,0,0,1,2
STAN,6,5,0,0,1,0
Celkem,200,94,17,15,39,35
26. schůze, 63. hlasování, 24. ledna 2019, 12:15Zdravotně pojistné plány zdravotních pojišťoven na rok 2018
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,52,0,5,8,13
ODS,25,14,0,2,6,3
Pirati,22,18,0,0,1,3
SPD,22,18,0,1,0,3
CSSD,15,2,0,5,2,6
KSCM,15,12,0,1,0,2
KDU-CSL,10,4,0,2,1,3
TOP09,7,3,0,0,2,2
STAN,6,3,0,1,2,0
Celkem,200,126,0,17,22,35
26. schůze, 64. hlasování, 24. ledna 2019, 12:20Zpráva o činnosti a hospodaření ÚPDI za rok 2017
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,44,0,5,16,13
ODS,25,14,0,2,6,3
Pirati,22,18,0,0,1,3
SPD,22,18,0,1,0,3
CSSD,15,3,0,4,2,6
KSCM,15,10,0,1,2,2
KDU-CSL,10,5,0,2,0,3
TOP09,7,2,0,0,3,2
STAN,6,4,0,1,1,0
Celkem,200,118,0,16,31,35
26. schůze, 65. hlasování, 24. ledna 2019, 12:24Zpráva o činnosti RRTV za rok 2017
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,42,1,5,17,13
ODS,25,5,0,2,15,3
Pirati,22,18,0,0,1,3
SPD,22,0,18,1,0,3
CSSD,15,3,0,4,2,6
KSCM,15,6,0,1,6,2
KDU-CSL,10,5,0,2,0,3
TOP09,7,3,0,0,2,2
STAN,6,4,0,1,1,0
Celkem,200,86,19,16,44,35
26. schůze, 66. hlasování, 24. ledna 2019, 12:27Výroční zpráva Českého telekomunikačního úřadu za rok 2017
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,48,0,5,12,13
ODS,25,14,0,2,6,3
Pirati,22,16,0,0,3,3
SPD,22,18,0,1,0,3
CSSD,15,4,0,4,1,6
KSCM,15,10,0,1,2,2
KDU-CSL,10,5,0,2,0,3
TOP09,7,3,0,0,2,2
STAN,6,3,0,1,2,0
Celkem,200,121,0,16,28,35
26. schůze, 67. hlasování, 24. ledna 2019, 12:36Zpráva o plnění programů prevence před povodněmi 2017
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,54,0,5,6,13
ODS,25,17,0,2,3,3
Pirati,22,18,0,0,1,3
SPD,22,18,0,1,0,3
CSSD,15,4,0,4,1,6
KSCM,15,11,0,1,1,2
KDU-CSL,10,4,0,3,1,2
TOP09,7,3,0,0,2,2
STAN,6,3,0,1,2,0
Celkem,200,132,0,17,17,34
26. schůze, 68. hlasování, 24. ledna 2019, 12:39Výroční zpráva o činnosti a hospodaření ČTK v roce 2017
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,48,0,6,11,13
ODS,25,12,0,2,8,3
Pirati,22,18,0,0,1,3
SPD,22,17,0,1,1,3
CSSD,15,3,0,4,2,6
KSCM,15,7,0,1,5,2
KDU-CSL,10,4,0,3,1,2
TOP09,7,3,0,0,2,2
STAN,6,3,0,1,2,0
Celkem,200,115,0,18,33,34
26. schůze, 69. hlasování, 24. ledna 2019, 12:46Zpráva o situaci v oblasti veřejného pořádku v roce 2017
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,49,0,6,10,13
ODS,25,14,0,2,6,3
Pirati,22,18,0,1,0,3
SPD,22,18,0,1,0,3
CSSD,15,4,0,3,2,6
KSCM,15,9,0,1,3,2
KDU-CSL,10,4,0,3,1,2
TOP09,7,3,0,0,2,2
STAN,6,3,0,1,2,0
Celkem,200,122,0,18,26,34
26. schůze, 70. hlasování, 24. ledna 2019, 12:54Inf. o pojišťování vývozu se státní podporou v roce 2017
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,45,0,7,13,13
ODS,25,10,0,2,10,3
Pirati,22,16,0,2,1,3
SPD,22,15,0,1,3,3
CSSD,15,4,0,3,2,6
KSCM,15,9,0,1,3,2
KDU-CSL,10,4,0,3,1,2
TOP09,7,3,0,0,2,2
STAN,6,2,0,1,3,0
Celkem,200,108,0,20,38,34
26. schůze, 71. hlasování, 24. ledna 2019, 12:58Informace o podpořeném financování za rok 2017
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,53,0,6,6,13
ODS,25,9,0,2,11,3
Pirati,22,17,0,2,0,3
SPD,22,15,0,1,3,3
CSSD,15,4,0,3,3,5
KSCM,15,9,0,1,3,2
KDU-CSL,10,5,0,3,0,2
TOP09,7,2,0,0,3,2
STAN,6,2,0,1,3,0
Celkem,200,116,0,19,32,33
26. schůze, 72. hlasování, 25. ledna 2019, 09:08Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,61,0,7,0,10
ODS,25,21,0,2,1,1
Pirati,22,17,0,2,0,3
SPD,22,20,0,1,0,1
CSSD,15,6,0,4,0,5
KSCM,15,11,0,1,1,2
KDU-CSL,10,6,0,1,0,3
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,152,0,19,2,27
26. schůze, 73. hlasování, 25. ledna 2019, 09:09Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,61,0,6,1,10
ODS,25,21,0,2,1,1
Pirati,22,1,0,2,16,3
SPD,22,0,0,1,20,1
CSSD,15,7,0,3,0,5
KSCM,15,12,0,1,0,2
KDU-CSL,10,6,0,1,0,3
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,119,0,16,38,27
26. schůze, 74. hlasování, 25. ledna 2019, 09:10Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,63,0,5,0,10
ODS,25,2,19,2,1,1
Pirati,22,16,0,2,1,3
SPD,22,0,0,1,20,1
CSSD,15,9,0,1,0,5
