1. schůze, 1. hlasování, 20. listopadu 2017, 13:53Inf. o ustavení volební komise PS a volbě členů
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
KDU-CSL,10,8,0,0,1,1
TOP09,7,6,0,0,0,1
STAN,6,6,0,0,0,0
Celkem,200,178,0,8,10,4
1. schůze, 14. hlasování, 24. listopadu 2017, 13:39Návrh na zřízení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,75,0,1,2,0
ODS,25,24,0,0,1,0
Pirati,22,21,0,1,0,0
SPD,22,20,0,0,0,2
CSSD,15,11,0,3,0,1
KSCM,15,12,0,2,1,0
KDU-CSL,10,8,0,0,1,1
TOP09,7,6,0,0,0,1
STAN,6,6,0,0,0,0
Celkem,200,183,0,7,5,5
1. schůze, 15. hlasování, 24. listopadu 2017, 13:43Návrh na stanovení počtu členů výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,76,0,1,1,0
ODS,25,25,0,0,0,0
Pirati,22,22,0,0,0,0
SPD,22,20,0,0,0,2
CSSD,15,11,0,3,0,1
KSCM,15,12,0,2,1,0
KDU-CSL,10,8,0,0,1,1
TOP09,7,6,0,0,0,1
STAN,6,6,0,0,0,0
Celkem,200,186,0,6,3,5
1. schůze, 16. hlasování, 24. listopadu 2017, 14:01Návrh termínu 2. schůze PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,72,0,2,4,0
ODS,25,25,0,0,0,0
Pirati,22,22,0,0,0,0
SPD,22,19,0,0,1,2
CSSD,15,10,0,3,1,1
KSCM,15,12,0,2,1,0
KDU-CSL,10,8,0,0,1,1
TOP09,7,6,0,0,0,1
STAN,6,3,0,0,3,0
Celkem,200,177,0,7,11,5
2. schůze, 1. hlasování, 28. listopadu 2017, 14:08
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,4,2,1
ODS,25,24,0,0,1,0
Pirati,22,21,0,0,0,1
SPD,22,21,0,0,0,1
CSSD,15,9,0,3,0,3
KSCM,15,14,0,0,0,1
KDU-CSL,10,8,0,1,0,1
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,179,0,8,3,10
2. schůze, 2. hlasování, 28. listopadu 2017, 14:11Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,75,0,2,0,1
ODS,25,25,0,0,0,0
Pirati,22,19,0,0,2,1
SPD,22,21,0,0,0,1
CSSD,15,10,0,2,0,3
KSCM,15,14,0,0,0,1
KDU-CSL,10,8,0,1,0,1
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,183,0,5,2,10
2. schůze, 3. hlasování, 28. listopadu 2017, 14:12Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,75,0,2,0,1
ODS,25,25,0,0,0,0
Pirati,22,21,0,0,0,1
SPD,22,21,0,0,0,1
CSSD,15,11,0,1,0,3
KSCM,15,14,0,0,0,1
KDU-CSL,10,8,0,1,0,1
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,186,0,4,0,10
2. schůze, 4. hlasování, 28. listopadu 2017, 15:15Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,73,0,1,3,1
ODS,25,23,0,0,2,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,12,0,0,2,1
KDU-CSL,10,8,0,0,1,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,181,0,2,9,8
2. schůze, 5. hlasování, 28. listopadu 2017, 15:15Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,72,0,1,4,1
ODS,25,23,0,0,2,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,13,0,0,1,1
KDU-CSL,10,8,0,0,1,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,181,0,2,9,8
2. schůze, 6. hlasování, 28. listopadu 2017, 15:16Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,72,0,1,4,1
ODS,25,23,0,0,2,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,13,0,0,1,1
KDU-CSL,10,8,0,0,1,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,181,0,2,9,8
2. schůze, 7. hlasování, 28. listopadu 2017, 15:18Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,1,2,1
ODS,25,23,0,0,2,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,13,0,0,1,1
KDU-CSL,10,7,0,0,2,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,182,0,2,8,8
2. schůze, 8. hlasování, 28. listopadu 2017, 15:19Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,1,2,1
ODS,25,24,0,0,1,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,14,0,0,0,1
KDU-CSL,10,7,0,0,2,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,184,0,2,6,8
2. schůze, 9. hlasování, 28. listopadu 2017, 15:19Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,1,2,1
ODS,25,24,0,0,1,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,14,0,0,0,1
KDU-CSL,10,7,0,0,2,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,184,0,2,6,8
2. schůze, 10. hlasování, 28. listopadu 2017, 15:20Náv. na ustavení výborů PS
